Typ;Matt;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
122 Potatis färsk;Totalt, 1 000 ton eller miljoner liter;649,0;649,0;648,0;635,0;621,0;614,0;600,0;588,0;579,0;561,0;553,0;564,0;562,0;548,0;537,0;521,0;475,0;524,0;547,5;544,1;539,0;542,1;550,5;543,4;541,8;542,5;537,5;538,2;524,5;520,2;517,2;524,0;533,0;547,5;541,8;505,1;442,3;443,9;422,9;424,7;418,3;409,3;397,1;388,5;410,9;420,1;417,7;410,9;410,7;415,4;406,1;425,5;431,5;434,9;437,4;442,2;467,1;468,2;471,8;478,0;475,3
122 Potatis färsk;Kilo eller liter per person och år;86,8;86,3;85,7;83,5;81,1;79,4;76,8;74,8;73,2;70,4;68,8;69,6;69,2;67,3;65,8;63,6;57,8;63,5;66,2;65,6;64,9;65,2;66,1;65,2;65,0;65,0;64,3;64,1;62,2;61,3;60,4;60,8;61,5;62,8;61,7;57,2;50,0;50,2;47,8;47,9;47,1;46,0;44,5;43,4;45,7;46,5;46,0;44,9;44,5;44,7;43,3;45,0;45,3;45,3;45,1;45,1;47,1;46,6;46,4;46,5;45,9
123 Potatis- och rotmospulver;Totalt, 1 000 ton eller miljoner liter;1,9;1,7;1,8;3,3;4,4;4,7;5,1;6,0;6,4;7,5;8,1;7,3;6,8;7,3;7,6;7,9;8,0;6,5;5,9;5,9;6,1;5,8;5,8;5,6;5,5;5,3;5,2;5,2;5,1;5,0;5,3;5,1;5,0;4,5;4,5;5,4;6,3;6,1;5,9;6,1;5,9;5,4;5,5;6,1;6,0;5,7;5,8;5,0;4,7;4,4;3,6;3,2;3,2;2,9;3,9;2,7;2,8;2,8;2,9;2,8;2,8
123 Potatis- och rotmospulver;Kilo eller liter per person och år;0,3;0,2;0,2;0,4;0,6;0,6;0,7;0,8;0,8;0,9;1,0;0,9;0,8;0,9;0,9;1,0;1,0;0,8;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,6;0,7;0,7;0,7;0,7;0,7;0,6;0,6;0,7;0,7;0,6;0,6;0,5;0,5;0,5;0,4;0,3;0,3;0,3;0,4;0,3;0,3;0,3;0,3;0,3;0,3
124 Potatisstärkelse (potatismjöl);Totalt, 1 000 ton eller miljoner liter;6,0;6,0;6,0;5,7;5,5;5,5;5,4;5,2;5,2;5,0;5,0;4,7;4,7;4,9;4,8;4,8;4,8;4,6;4,5;4,5;4,7;4,6;4,8;4,7;4,0;4,3;4,2;4,0;3,8;3,7;3,6;3,4;3,2;3,2;2,9;2,8;2,1;2,1;2,1;1,6;1,6;1,5;1,4;1,3;1,3;1,0;1,0;1,3;1,2;1,1;1,2;1,3;1,2;1,1;1,2;1,2;1,2;1,2;1,2;1,2;1,2
124 Potatisstärkelse (potatismjöl);Kilo eller liter per person och år;0,8;0,8;0,8;0,7;0,7;0,7;0,7;0,7;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,5;0,5;0,6;0,6;0,6;0,6;0,5;0,5;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1
125 Kylda och djupfrysta potatisprodukter;Totalt, 1 000 ton eller miljoner liter;..;..;..;..;1,6;2,7;3,5;5,6;7,0;9,5;10,1;9,8;10,7;12,9;14,8;18,7;20,1;19,8;22,0;22,9;24,5;23,5;22,7;23,7;23,7;25,5;25,3;25,4;29,2;31,1;31,6;30,8;30,0;28,7;30,0;39,6;59,0;60,0;66,4;67,1;70,0;74,5;79,6;81,4;74,9;75,1;76,4;79,5;80,6;80,6;86,4;83,5;83,9;85,5;83,6;86,3;82,7;85,3;86,5;86,6;87,8
125 Kylda och djupfrysta potatisprodukter;Kilo eller liter per person och år;..;..;..;..;0,2;0,3;0,4;0,7;0,9;1,2;1,3;1,2;1,3;1,6;1,8;2,3;2,4;2,4;2,7;2,8;2,9;2,8;2,7;2,8;2,8;3,1;3,0;3,0;3,5;3,7;3,7;3,6;3,5;3,3;3,4;4,5;6,7;6,8;7,5;7,6;7,9;8,4;8,9;9,1;8,3;8,3;8,4;8,7;8,7;8,7;9,2;8,8;8,8;8,9;8,6;8,8;8,3;8,5;8,5;8,4;8,5
126 Konservpotatis;Totalt, 1 000 ton eller miljoner liter;..;..;0,4;0,3;0,8;3,2;5,5;7,5;7,5;7,3;6,6;5,1;4,6;6,6;4,8;5,1;6,0;5,8;5,3;5,5;5,4;7,0;7,4;6,8;7,3;6,8;6,4;7,2;8,8;8,8;8,7;7,7;6,1;4,8;5,1;6,3;4,8;3,3;2,1;2,6;1,8;1,8;2,1;2,5;1,7;1,6;1,9;2,7;2,6;2,3;2,2;2,0;2,0;2,1;2,0;1,9;1,7;1,7;1,8;1,7;1,5
126 Konservpotatis;Kilo eller liter per person och år;..;..;0,1;0,0;0,1;0,4;0,7;1,0;0,9;0,9;0,8;0,6;0,6;0,8;0,6;0,6;0,7;0,7;0,6;0,7;0,6;0,8;0,9;0,8;0,9;0,8;0,8;0,9;1,0;1,0;1,0;0,9;0,7;0,6;0,6;0,7;0,5;0,4;0,2;0,3;0,2;0,2;0,2;0,3;0,2;0,2;0,2;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1
127 Andra beredda potatisprodukter (chips);Totalt, 1 000 ton eller miljoner liter;..;..;..;..;..;..;0,5;0,9;1,5;2,1;2,8;2,8;2,8;2,8;3,2;3,1;3,2;3,1;3,3;3,7;3,8;3,8;4,0;4,7;5,0;5,5;6,2;6,8;6,8;7,7;8,9;9,7;10,0;10,0;11,4;12,1;12,4;12,4;14,4;12,4;13,0;13,2;12,7;12,9;13,5;12,5;12,8;14,7;15,8;17,1;18,1;17,8;17,8;17,8;18,7;19,9;18,8;19,3;19,9;20,4;21,8
127 Andra beredda potatisprodukter (chips);Kilo eller liter per person och år;..;..;..;..;..;..;0,1;0,1;0,2;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,7;0,7;0,8;0,8;0,9;1,0;1,1;1,2;1,1;1,3;1,4;1,4;1,4;1,6;1,4;1,5;1,5;1,4;1,4;1,5;1,4;1,4;1,6;1,7;1,8;1,9;1,9;1,9;1,9;1,9;2,0;1,9;1,9;2,0;2,0;2,1
